,asset,free,locked
437,MLN,0.0,0.0
438,C98,0.0,0.0
439,FLOW,0.0,0.0
440,QUICK,0.0,0.0
441,RAY,0.0,0.0
442,MINA,0.0,0.0
443,QNT,0.0,0.0
444,CLV,0.0,0.0
445,XEC,0.0,0.0
446,ALPACA,0.0,0.0
447,FARM,0.0,0.0
448,VGX,0.0,0.0
449,MBOX,0.0,0.0
450,WAXP,0.0,0.0
451,TRIBE,0.0,0.0
452,GNO,0.0,0.0
453,USDP,0.0,0.0
454,DYDX,0.0,0.0
455,GALA,0.0,0.0
456,ILV,0.0,0.0
457,YGG,0.0,0.0
458,FIDA,0.0,0.0
459,AGLD,0.0,0.0
460,BETA,0.0,0.0
461,RAD,0.0,0.0
462,RARE,0.0,0.0
463,SSV,0.0,0.0
464,LAZIO,0.0,0.0
465,MOVR,0.0,0.0
466,CHESS,0.0,0.0
467,DAR,0.0,0.0
468,ACA,0.0,0.0
469,ASTR,0.0,0.0
470,BNX,0.0,0.0
471,RGT,0.0,0.0
472,CITY,0.0,0.0
473,ENS,0.0,0.0
474,PORTO,0.0,0.0
475,JASMY,0.0,0.0
476,AMP,0.0,0.0
477,PLA,0.0,0.0
478,PYR,0.0,0.0
479,SANTOS,0.0,0.0
480,RNDR,0.0,0.0
481,ALCX,0.0,0.0
482,MC,0.0,0.0
483,ANY,0.0,0.0
484,VOXEL,0.0,0.0
485,BICO,0.0,0.0
486,FLUX,0.0,0.0
487,UST,0.0,0.0
488,HIGH,0.0,0.0
489,OOKI,0.0,0.0
490,CVX,0.0,0.0
491,PEOPLE,0.0,0.0
492,SPELL,0.0,0.0
493,JOE,0.0,0.0
494,BDOT,0.0,0.0
495,GLMR,0.0,0.0
496,ACH,0.0,0.0
497,IMX,0.0,0.0
498,LOKA,0.0,0.0
499,BTTC,0.0,0.0
500,ANC,0.0,0.0
501,API3,0.0,0.0
502,XNO,0.0,0.0
503,WOO,0.0,0.0
504,ALPINE,0.0,0.0
505,T,0.0,0.0
506,NBT,0.0,0.0
507,KDA,0.0,0.0
508,APE,0.0,0.0
509,GMT,0.0,0.0
510,MOB,0.0,0.0
511,BSW,0.0,0.0
512,MULTI,0.0,0.0
513,REI,0.0,0.0
514,GAL,0.0,0.0
515,NEXO,0.0,0.0
516,EPX,0.0,0.0
517,LDO,0.0,0.0
518,USTC,0.0,0.0
519,LUNC,0.0,0.0
520,OP,0.0,0.0
521,LEVER,0.0,0.0
522,STG,0.0,0.0
523,POLYX,0.0,0.0
524,GMX,0.0,0.0
525,APT,0.0,0.0
526,OSMO,0.0,0.0
527,HFT,0.0,0.0
528,HOOK,0.0,0.0
529,MAGIC,0.0,0.0
530,HIFI,0.0,0.0
531,RPL,0.0,0.0
532,GFT,0.0,0.0
533,GNS,0.0,0.0
534,SYN,0.0,0.0
535,LQTY,0.0,0.0
536,ID,0.0,0.0
537,ARB,0.0,0.0
538,RDNT,0.0,0.0
539,EDU,0.0,0.0
540,WBETH,0.0,0.0
541,SUI,0.0,0.0
542,PEPE,0.0,0.0
543,FLOKI,0.0,0.0
544,COMBO,0.0,0.0
545,NTRN,0.0,0.0
546,MAV,0.0,0.0
547,FDUSD,0.0,0.0
548,PENDLE,0.0,0.0
549,ARKM,0.0,0.0
550,WLD,0.0,0.0
551,CYBER,0.0,0.0
552,SEI,0.0,0.0
553,AEUR,0.0,0.0
554,ORDI,0.0,0.0
555,MEME,0.0,0.0
556,TIA,0.0,0.0
557,BEAMX,0.0,0.0
558,VIC,0.0,0.0
559,BLUR,0.0,0.0
560,VANRY,0.0,0.0
561,JTO,0.0,0.0
562,ACE,0.0,0.0
563,1000SATS,0.0,0.0
564,BONK,0.0,0.0
565,AXL,0.0,0.0
566,NFP,0.0,0.0
567,AI,0.0,0.0
568,XAI,0.0,0.0
569,MANTA,0.0,0.0
570,METIS,0.0,0.0
571,ALT,0.0,0.0
572,RONIN,0.0,0.0
573,JUP,0.0,0.0
574,PYTH,0.0,0.0
575,DYM,0.0,0.0
576,PIXEL,0.0,0.0
577,STRK,0.0,0.0
578,PORTAL,0.0,0.0
579,PDA,0.0,0.0
580,WIF,0.0,0.0
581,AEVO,0.0,0.0
582,ETHFI,0.0,0.0
583,BOME,0.0,0.0
584,ENA,0.0,0.0
585,W,0.0,0.0
586,SAGA,0.0,0.0
587,TAO,0.0,0.0
588,TNSR,0.0,0.0
589,OMNI,0.0,0.0
590,BB,0.0,0.0
591,REZ,0.0,0.0
592,NOT,0.0,0.0
