,Datetime,Open,High,Low,Close,Volume
0,2025-04-23 22:00:00,1791.59,1805.9,1789.6,1803.42,9487.1889
1,2025-04-23 23:00:00,1803.42,1806.91,1791.5,1795.07,8578.5733
2,2025-04-24 00:00:00,1795.08,1798.42,1783.48,1789.89,12883.4854
3,2025-04-24 01:00:00,1789.9,1797.82,1781.53,1793.99,11161.484
4,2025-04-24 02:00:00,1794.0,1802.82,1775.5,1779.36,19106.286
5,2025-04-24 03:00:00,1779.36,1791.0,1766.52,1768.18,25614.9865
6,2025-04-24 04:00:00,1768.16,1773.47,1758.0,1772.32,25944.8794
7,2025-04-24 05:00:00,1772.32,1776.34,1766.43,1769.59,10623.0375
8,2025-04-24 06:00:00,1769.58,1776.0,1762.01,1768.19,12315.6762
9,2025-04-24 07:00:00,1768.19,1774.62,1751.27,1756.25,27355.6553
10,2025-04-24 08:00:00,1756.25,1760.7,1722.9,1734.91,64193.0206
11,2025-04-24 09:00:00,1734.91,1747.2,1734.5,1743.5,19292.247
12,2025-04-24 10:00:00,1743.5,1751.47,1739.93,1750.17,13226.9506
13,2025-04-24 11:00:00,1750.17,1757.4,1741.47,1755.1,15252.425
14,2025-04-24 12:00:00,1755.1,1757.95,1747.4,1757.86,15162.4504
15,2025-04-24 13:00:00,1757.86,1760.88,1744.4,1753.55,21264.1997
16,2025-04-24 14:00:00,1753.55,1776.35,1752.85,1765.37,40974.24
17,2025-04-24 15:00:00,1765.37,1777.77,1762.2,1764.62,29454.3897
18,2025-04-24 16:00:00,1764.62,1777.5,1763.28,1770.4,23917.3188
19,2025-04-24 17:00:00,1770.4,1773.78,1746.04,1755.41,31234.5268
20,2025-04-24 18:00:00,1755.4,1769.2,1755.0,1763.24,12393.7559
21,2025-04-24 19:00:00,1763.25,1766.79,1756.01,1763.1,8814.9947
22,2025-04-24 20:00:00,1763.1,1770.0,1761.13,1762.01,9665.8341
23,2025-04-24 21:00:00,1762.01,1764.19,1749.04,1760.8,10949.0576
24,2025-04-24 22:00:00,1760.8,1765.0,1755.94,1760.0,11450.4194
25,2025-04-24 23:00:00,1759.99,1774.84,1758.75,1769.65,11213.7179
26,2025-04-25 00:00:00,1769.64,1775.44,1763.2,1774.15,11926.0376
27,2025-04-25 01:00:00,1774.15,1790.5,1765.01,1765.93,27537.8398
28,2025-04-25 02:00:00,1765.93,1770.87,1738.6,1744.61,34757.9676
29,2025-04-25 03:00:00,1744.61,1762.14,1740.15,1760.89,17224.9915
30,2025-04-25 04:00:00,1760.89,1771.8,1758.14,1766.0,11485.2041
31,2025-04-25 05:00:00,1766.0,1770.99,1763.07,1767.26,8180.4764
32,2025-04-25 06:00:00,1767.26,1780.46,1765.62,1776.96,14568.7138
