,Datetime,Open,High,Low,Close,Volume,Momentum,RSI,Predicted_Close,Buy_Signal,Sell_Signal
0,2024-03-04 17:00:00,1.08612,1.08622,1.0855299999999999,1.08591,986,-0.0007599999999998719,33.56643356643508,1.0859085939683497,False,True
1,2024-03-04 17:30:00,1.08592,1.0860400000000001,1.08558,1.08578,788,-0.0007599999999998719,33.56643356643508,1.0859085939683497,False,False
2,2024-03-04 18:00:00,1.08578,1.08603,1.08559,1.08572,635,-0.0007599999999998719,33.56643356643508,1.0857774162410914,False,False
3,2024-03-04 18:30:00,1.08571,1.08586,1.08556,1.08562,491,-0.0007599999999998719,33.56643356643508,1.0857168726746647,False,False
4,2024-03-04 19:00:00,1.08563,1.08575,1.0855,1.08561,537,-0.0007599999999998719,33.56643356643508,1.0856159667306198,False,False
5,2024-03-04 19:30:00,1.0856,1.08583,1.0855,1.08563,582,-0.0007599999999998719,33.56643356643508,1.0856058761362153,False,True
6,2024-03-04 20:00:00,1.08562,1.08576,1.08561,1.08573,462,-0.0007599999999998719,33.56643356643508,1.0856260573250245,False,True
7,2024-03-04 20:30:00,1.08573,1.08593,1.0855299999999999,1.08557,648,-0.0007599999999998719,33.56643356643508,1.0857269632690691,False,False
8,2024-03-04 21:00:00,1.08557,1.08571,1.08547,1.08548,238,-0.0007599999999998719,33.56643356643508,1.0855655137585973,False,False
9,2024-03-04 21:30:00,1.08548,1.08564,1.08547,1.08557,290,-0.0007599999999998719,33.56643356643508,1.0854746984089572,False,True
10,2024-03-04 22:00:00,1.08555,1.08561,1.08539,1.08549,737,-0.0007599999999998719,33.56643356643508,1.0855655137585973,False,False
11,2024-03-04 22:30:00,1.08547,1.08556,1.08526,1.08547,776,-0.0007599999999998719,33.56643356643508,1.0854847890033616,False,False
12,2024-03-04 23:00:00,1.08542,1.08578,1.08542,1.08574,209,-0.0007599999999998719,33.56643356643508,1.0854646078145527,False,True
13,2024-03-04 23:30:00,1.08574,1.08579,1.08542,1.08544,150,-0.0007599999999998719,33.56643356643508,1.0857370538634734,False,False
14,2024-03-05 00:00:00,1.08539,1.08551,1.08513,1.08515,281,-0.0007599999999998719,27.906976744189052,1.0854343360313392,False,False
15,2024-03-05 00:30:00,1.08516,1.08542,1.08512,1.08529,395,-0.0004899999999998794,35.8381502890209,1.0850974066206585,False,True
16,2024-03-05 01:00:00,1.08529,1.08544,1.08497,1.08514,570,-0.0005800000000000249,34.06593406593474,1.0852715368353958,False,False
17,2024-03-05 01:30:00,1.08512,1.08518,1.08474,1.08494,530,-0.0006800000000000139,32.29166666666762,1.0851160461134013,False,False
18,2024-03-05 02:00:00,1.08495,1.08511,1.08483,1.085,469,-0.0006099999999999994,34.51776649746216,1.0849111687056223,False,True
