,Datetime,Open,High,Low,Close,Volume,MACD,Signal_Line,RSI,Predicted_Close,Buy_Signal,Sell_Signal
0,2025-06-29,2435.62,2525.0,2412.0,2500.09,284291.8057,303.16896809286754,,75.80260683199933,2510.214104195465,False,False
1,2025-06-30,2500.09,2524.3,2431.0,2485.47,440455.714,303.16896809286754,,75.80260683199933,2501.1601317933773,False,False
2,2025-07-01,2485.47,2500.8,2386.52,2405.01,351951.0868,303.16896809286754,,75.80260683199933,2483.493421628417,False,False
3,2025-07-02,2405.01,2619.28,2373.0,2570.41,634967.0337,303.16896809286754,,75.80260683199933,2583.840628521484,False,False
4,2025-07-03,2570.41,2635.5,2556.12,2591.25,504943.6592,303.16896809286754,,75.80260683199933,2604.2477728293497,False,False
5,2025-07-04,2591.26,2603.17,2474.24,2508.04,452593.02,303.16896809286754,,75.80260683199933,2576.558178321177,False,False
6,2025-07-05,2508.04,2529.81,2487.95,2516.41,157198.0958,303.16896809286754,,75.80260683199933,2520.638133777162,False,False
7,2025-07-06,2516.42,2605.0,2503.5,2570.35,277593.6319,303.16896809286754,,75.80260683199933,2587.133039128597,False,False
8,2025-07-07,2570.35,2590.57,2512.0,2542.29,315707.5272,303.16896809286754,,75.80260683199933,2571.041924625462,False,False
9,2025-07-08,2542.3,2628.21,2523.59,2615.25,370915.7321,303.16896809286754,,75.80260683199933,2604.549385307703,False,False
10,2025-07-09,2615.25,2795.74,2589.78,2768.74,686119.3772,303.16896809286754,,75.80260683199933,2749.8887344461236,False,False
11,2025-07-10,2768.74,3000.0,2755.5,2951.29,951896.07,303.16896809286754,,75.80260683199933,2932.2974086529644,False,False
12,2025-07-11,2951.29,3040.15,2913.75,2958.22,906839.1689,303.16896809286754,,75.80260683199933,2971.776818528143,False,False
13,2025-07-12,2958.21,2979.78,2903.85,2943.28,348884.8877,303.16896809286754,,75.80260683199933,2942.4457291621093,False,False
14,2025-07-13,2943.29,3020.31,2936.49,2972.03,357333.5016,303.16896809286754,,75.80260683199933,2980.955341306412,False,False
15,2025-07-14,2972.03,3083.0,2962.81,3013.62,815552.6496,303.16896809286754,,76.93235998338551,3017.5553965382605,False,False
16,2025-07-15,3013.61,3144.14,2932.46,3137.89,863583.7377,303.16896809286754,,79.94531644059977,3074.727205074515,False,False
17,2025-07-16,3137.9,3425.0,3101.0,3371.35,1135950.5831,303.16896809286754,,84.13713277245752,3331.0891911245026,False,False
18,2025-07-17,3371.35,3523.44,3310.77,3476.87,974065.8264,303.16896809286754,,85.60199180350764,3432.634859319438,False,False
19,2025-07-18,3476.88,3673.84,3458.68,3546.92,1163823.3977,303.16896809286754,,86.49367268383965,3566.955494464224,False,False
20,2025-07-19,3546.92,3608.3,3506.79,3592.01,381791.9213,303.16896809286754,,87.04963557752757,3543.6363223809008,False,False
21,2025-07-20,3592.0,3824.56,3579.13,3756.69,852356.5533,303.16896809286754,,88.85417388591993,3728.07775613007,False,False
22,2025-07-21,3756.69,3860.0,3701.01,3762.33,812074.0534,303.16896809286754,,88.9111631487508,3763.15883853269,False,False
23,2025-07-22,3762.32,3798.65,3616.54,3746.21,870127.3864,303.16896809286754,,87.53355419861614,3701.574129218033,False,False
24,2025-07-23,3746.21,3764.2,3527.0,3628.29,800259.4025,303.16896809286754,,78.01140699262969,3672.830832037335,False,False
25,2025-07-24,3628.29,3771.0,3502.85,3706.94,749459.495,303.16896809286754,,79.60500872066322,3682.3618175237775,False,False
26,2025-07-25,3706.95,3747.0,3573.76,3724.96,764606.7261,303.16896809286754,,79.96331057899043,3657.46043411268,False,False
27,2025-07-26,3724.97,3793.0,3697.66,3741.1,407259.7024,303.16896809286754,,80.29718809602147,3719.3216618744677,False,False
28,2025-07-27,3741.11,3879.82,3731.0,3872.1,457352.4605,303.16896809286754,,82.80208298345964,3800.5668771394076,False,False
29,2025-07-28,3872.11,3941.0,3754.0,3799.0,620994.7463,303.16896809286754,,76.92502839108349,3851.122360836665,False,False
30,2025-07-29,3799.0,3886.44,3716.04,3793.79,584210.4393,303.16896809286754,,76.50822464183295,3800.539774699471,False,False
31,2025-07-30,3793.79,3834.03,3677.65,3810.0,525424.9003,303.16896809286754,,76.9271107029206,3753.1973202209438,False,False
