,Datetime,Open,High,Low,Close,Volume,MA_fast,MA_slow,MA,ATR,Predicted_Close,Buy_Signal,Sell_Signal
0,2025-09-04 00:00:00,4450.46,4450.46,4448.3,4450.15,238.0544,,,4453.5335,3.504999999999914,4449.173257756203,True,False
1,2025-09-04 00:01:00,4450.15,4452.13,4449.93,4449.93,146.9127,,,4453.5335,3.504999999999914,4452.006321521852,True,False
2,2025-09-04 00:02:00,4449.94,4451.26,4446.7,4451.25,202.507,,,4453.5335,3.504999999999914,4448.808731156001,True,False
3,2025-09-04 00:03:00,4451.26,4452.91,4450.1,4452.9,189.7622,,,4453.5335,3.504999999999914,4452.031786425065,True,False
4,2025-09-04 00:04:00,4452.9,4453.6,4450.24,4451.48,145.5841,,,4453.5335,3.504999999999914,4451.532249869098,True,False
5,2025-09-04 00:05:00,4451.47,4453.53,4450.93,4453.53,158.6968,,,4453.5335,3.504999999999914,4453.048480724642,True,False
6,2025-09-04 00:06:00,4453.53,4455.51,4449.53,4449.54,171.446,,,4453.5335,3.504999999999914,4452.040978127654,True,False
7,2025-09-04 00:07:00,4449.53,4452.03,4448.24,4450.35,93.8372,,,4453.5335,3.504999999999914,4450.908516017188,True,False
8,2025-09-04 00:08:00,4450.36,4452.37,4450.36,4452.35,88.4915,,,4453.5335,3.504999999999914,4452.368241608477,True,False
9,2025-09-04 00:09:00,4452.36,4452.36,4448.2,4448.21,320.8106,4450.968999999999,,4453.5335,3.504999999999914,4449.346367907651,True,False
10,2025-09-04 00:10:00,4448.2,4448.21,4446.0,4446.49,817.8292,4450.602999999999,,4453.5335,3.504999999999914,4447.4471294940895,True,False
11,2025-09-04 00:11:00,4446.48,4447.82,4446.17,4447.82,186.0508,4450.391999999999,,4453.5335,3.504999999999914,4448.012473377908,True,False
12,2025-09-04 00:12:00,4447.82,4450.81,4447.81,4449.74,109.3333,4450.240999999999,,4453.5335,3.504999999999914,4450.773204499512,True,False
13,2025-09-04 00:13:00,4449.73,4454.9,4449.73,4454.9,231.4352,4450.440999999999,,4453.5335,3.504999999999914,4454.390194186491,True,False
14,2025-09-04 00:14:00,4454.9,4460.45,4454.89,4460.45,257.9263,4451.337999999999,,4453.5335,3.504999999999914,4459.5468990338295,True,False
15,2025-09-04 00:15:00,4460.45,4460.83,4458.0,4459.31,215.9042,4451.915999999999,,4453.5335,3.4567857142856293,4458.577930357697,True,False
16,2025-09-04 00:16:00,4459.31,4459.31,4456.28,4456.39,108.5531,4452.600999999999,,4453.5335,3.4263010204081312,4456.647476252759,True,False
17,2025-09-04 00:17:00,4456.38,4458.35,4454.89,4458.35,177.5519,4453.400999999999,,4453.5335,3.428708090378982,4456.799501385053,True,False
18,2025-09-04 00:18:00,4458.34,4460.94,4457.66,4460.94,235.1914,4454.259999999999,,4453.5335,3.418086083923322,4459.8527431339735,True,False
19,2025-09-04 00:19:00,4460.94,4466.6,4460.93,4466.59,377.4488,4456.098,4453.5335,4453.5335,3.5789370779288037,4465.379586361891,True,False
20,2025-09-04 00:20:00,4466.59,4473.84,4466.59,4470.78,780.5208,4458.527,4454.5650000000005,4454.5650000000005,3.841155858076746,4472.2732051867415,True,False
21,2025-09-04 00:21:00,4470.77,4473.91,4468.99,4471.66,262.1062,4460.911,4455.6515,4455.6515,3.9182161539284124,4471.110728648814,True,False
22,2025-09-04 00:22:00,4471.66,4480.0,4471.02,4476.48,945.2041,4463.585000000001,4456.913,4456.913,4.279772142933495,4477.562793513672,True,False
23,2025-09-04 00:23:00,4476.48,4478.35,4473.27,4473.27,241.4656,4465.4220000000005,4457.931500000001,4457.931500000001,4.3369312755810965,4474.3316822378265,True,False
24,2025-09-04 00:24:00,4473.27,4474.52,4470.0,4470.01,186.8859,4466.378000000001,4458.858,4458.858,4.350007613039621,4470.777223841164,True,False
25,2025-09-04 00:25:00,4470.0,4472.01,4469.75,4471.99,310.4075,4467.646000000001,4459.781000000001,4459.781000000001,4.200721354965378,4470.957042548125,True,False
26,2025-09-04 00:26:00,4471.99,4479.37,4471.27,4479.37,419.8914,4469.944000000001,4461.272500000001,4461.272500000001,4.479241258182098,4476.829365757709,True,False
27,2025-09-04 00:27:00,4479.37,4479.37,4476.87,4476.89,706.4181,4471.798000000001,4462.5995,4462.5995,4.3378668825976625,4476.6562088678265,True,False
28,2025-09-04 00:28:00,4476.89,4479.45,4475.01,4475.01,729.1851,4473.205000000001,4463.7325,4463.7325,4.34516210526923,4476.941162485558,True,False
29,2025-09-04 00:29:00,4475.0,4475.38,4472.7,4472.92,184.6958,4473.838000000001,4464.967999999999,4464.967999999999,4.226221954892877,4472.744060884115,True,False
30,2025-09-04 00:30:00,4472.92,4474.91,4471.44,4471.45,148.9132,4473.905000000001,4466.2159999999985,4466.2159999999985,4.172206100971976,4472.778275790028,True,False
31,2025-09-04 00:31:00,4471.44,4473.21,4471.01,4473.21,88.0721,4474.0599999999995,4467.485499999999,4467.485499999999,4.031334236616821,4472.095867227991,True,False
32,2025-09-04 00:32:00,4473.2,4473.2,4470.61,4471.75,141.6696,4473.5869999999995,4468.585999999998,4468.585999999998,3.929096076858503,4470.619300869583,True,False
33,2025-09-04 00:33:00,4471.74,4479.01,4471.74,4479.0,240.145,4474.159999999999,4469.790999999999,4469.790999999999,4.167732071368641,4477.299182723518,True,False
34,2025-09-04 00:34:00,4479.01,4481.66,4479.0,4481.52,406.5412,4475.310999999999,4470.844499999999,4470.844499999999,4.060036923413728,4480.593110834978,True,False
35,2025-09-04 00:35:00,4481.52,4482.05,4478.41,4478.42,870.2281,4475.953999999999,4471.799999999999,4471.799999999999,4.030034286027056,4479.0473953492055,True,False
36,2025-09-04 00:36:00,4478.42,4481.98,4477.98,4477.98,264.6728,4475.814999999998,4472.879499999999,4472.879499999999,4.027888979882266,4480.379222446986,True,False
37,2025-09-04 00:37:00,4477.98,4479.98,4477.18,4477.69,187.0225,4475.894999999999,4473.846499999999,4473.846499999999,3.940182624176338,4478.408662563992,True,False
38,2025-09-04 00:38:00,4477.68,4477.68,4473.75,4476.25,324.3261,4476.018999999998,4474.611999999999,4474.611999999999,3.9401695795922853,4474.058494169015,True,False
39,2025-09-04 00:39:00,4476.25,4476.26,4471.0,4471.0,277.6687,4475.826999999998,4474.832499999999,4474.832499999999,4.034443181049995,4471.601300649458,True,False
40,2025-09-04 00:40:00,4471.01,4471.21,4470.11,4470.13,804.1356,4475.694999999998,4474.799999999999,4474.799999999999,3.8248400966893072,4470.8446758888795,True,False
41,2025-09-04 00:41:00,4470.13,4471.0,4468.49,4470.99,219.1102,4475.472999999998,4474.7665,4474.7665,3.730922946925801,4469.513646652204,True,False
42,2025-09-04 00:42:00,4471.0,4472.78,4470.99,4471.28,663.3586,4475.425999999998,4474.5064999999995,4474.5064999999995,3.5922855935739553,4472.719445816829,True,False
43,2025-09-04 00:43:00,4471.27,4472.92,4470.03,4472.21,447.2055,4474.746999999998,4474.4535,4474.4535,3.5421223368901247,4471.686788367063,True,False
44,2025-09-04 00:44:00,4472.21,4472.85,4468.75,4468.75,367.7629,4473.469999999998,4474.3904999999995,4474.3904999999995,3.581970741397999,4469.855987641684,True,False
45,2025-09-04 00:45:00,4468.76,4471.33,4467.48,4467.82,223.7026,4472.409999999998,4474.181999999999,4474.181999999999,3.6011156884410247,4469.861311225192,True,False
46,2025-09-04 00:46:00,4467.82,4468.18,4465.6,4466.75,135.9398,4471.286999999998,4473.5509999999995,4473.5509999999995,3.528178853552375,4466.355312200311,True,False
47,2025-09-04 00:47:00,4466.75,4468.33,4465.99,4466.0,270.1485,4470.117999999998,4473.0064999999995,4473.0064999999995,3.443308935441501,4467.61424999735,True,False
48,2025-09-04 00:48:00,4466.0,4469.5,4466.0,4469.5,525.9449,4469.4429999999975,4472.731,4472.731,3.44735829719568,4469.243134122973,True,False
49,2025-09-04 00:49:00,4469.5,4469.5,4468.05,4469.49,224.0303,4469.291999999998,4472.5595,4472.5595,3.304689847395976,4468.3112387560195,True,False
50,2025-09-04 00:50:00,4469.49,4472.9,4468.0,4472.9,602.2951,4469.568999999998,4472.632,4472.632,3.418640572581952,4471.251246822114,True,False
51,2025-09-04 00:51:00,4472.89,4473.67,4472.66,4472.66,447.7548,4469.735999999999,4472.6044999999995,4472.6044999999995,3.2465948173975425,4473.286265187479,True,False
52,2025-09-04 00:52:00,4472.6,4475.37,4469.93,4475.36,655.8193,4470.143999999998,4472.785,4472.785,3.403266616154832,4472.717935578709,True,False
53,2025-09-04 00:53:00,4475.35,4475.35,4474.88,4474.92,220.8881,4470.414999999999,4472.581,4472.581,3.194461857858027,4474.607823627176,True,False
54,2025-09-04 00:54:00,4474.92,4477.23,4474.5,4476.43,852.3242,4471.182999999999,4472.3265,4472.3265,3.1612860108681367,4476.525463344306,True,False
55,2025-09-04 00:55:00,4476.43,4476.45,4476.13,4476.14,470.4255,4472.0149999999985,4472.2125,4472.2125,2.9583370100918205,4475.942861747451,True,False
56,2025-09-04 00:56:00,4476.14,4476.48,4475.38,4475.87,248.3916,4472.926999999999,4472.107,4472.107,2.8255986522280803,4475.378315890492,True,False
57,2025-09-04 00:57:00,4475.87,4475.87,4473.2,4473.2,129.6186,4473.646999999999,4471.8825,4471.8825,2.8144844627832226,4473.169810510723,True,False
58,2025-09-04 00:58:00,4473.2,4473.21,4467.56,4468.61,441.1764,4473.557999999999,4471.5005,4471.5005,3.017021286870109,4468.41062968925,True,False
59,2025-09-04 00:59:00,4468.6,4468.6,4466.75,4467.72,100.7742,4473.380999999999,4471.336499999999,4471.336499999999,2.9343769092365064,4466.999961894652,True,False
60,2025-09-04 01:00:00,4467.72,4468.66,4465.95,4466.05,134.2157,4472.695999999999,4471.1325,4471.1325,2.918349987148187,4467.004936241141,True,False
61,2025-09-04 01:01:00,4466.05,4467.56,4466.05,4467.56,151.9763,4472.185999999999,4470.960999999999,4470.960999999999,2.8177535594947605,4467.3741405879455,True,False
62,2025-09-04 01:02:00,4467.56,4467.56,4465.4,4466.51,88.6565,4471.300999999999,4470.722499999999,4470.722499999999,2.7707711623880464,4465.735338420698,True,False
63,2025-09-04 01:03:00,4466.51,4467.2,4465.55,4466.48,171.9602,4470.456999999999,4470.435999999999,4470.435999999999,2.690716079360303,4466.348567471179,True,False
64,2025-09-04 01:04:00,4466.47,4466.66,4465.79,4466.66,59.0068,4469.479999999999,4470.331499999998,4470.331499999998,2.5606649308345593,4466.062205625609,True,False
65,2025-09-04 01:05:00,4466.66,4467.75,4459.66,4460.68,518.8398,4467.933999999999,4469.974499999998,4469.974499999998,2.955617435774958,4462.005475305851,True,False
66,2025-09-04 01:06:00,4460.68,4461.0,4456.04,4456.04,406.9404,4465.950999999999,4469.438999999998,4469.438999999998,3.098787618933892,4457.656863127164,True,False
67,2025-09-04 01:07:00,4456.03,4458.84,4454.45,4457.19,240.1126,4464.349999999999,4468.998499999998,4468.998499999998,3.191017074724351,4457.690750811151,True,False
68,2025-09-04 01:08:00,4457.18,4460.0,4456.9,4458.19,234.4979,4463.307999999999,4468.432999999998,4468.432999999998,3.184515855101209,4459.834234627711,True,False
69,2025-09-04 01:09:00,4458.18,4459.68,4457.66,4459.06,196.1228,4462.441999999999,4467.911499999997,4467.911499999997,3.10133615116544,4459.475736042961,True,False
70,2025-09-04 01:10:00,4459.07,4459.69,4455.28,4455.28,146.629,4461.364999999999,4467.030499999998,4467.030499999998,3.194812140367898,4456.817066735654,True,False
71,2025-09-04 01:11:00,4455.27,4455.28,4452.91,4453.82,190.3094,4459.990999999999,4466.088499999998,4466.088499999998,3.1358969874844687,4453.959706443419,True,False
72,2025-09-04 01:12:00,4453.82,4453.82,4451.03,4452.91,233.2116,4458.6309999999985,4464.9659999999985,4464.9659999999985,3.111190059807004,4452.223395064457,True,False
73,2025-09-04 01:13:00,4452.91,4454.73,4452.91,4453.92,99.6633,4457.374999999998,4463.915999999998,4463.915999999998,3.0189621983921975,4455.005523026607,True,False
74,2025-09-04 01:14:00,4453.92,4455.67,4453.83,4455.01,80.1486,4456.209999999998,4462.8449999999975,4462.8449999999975,2.934750612792765,4455.766943726376,True,False
75,2025-09-04 01:15:00,4455.0,4455.0,4449.9,4450.57,304.5576,4455.198999999999,4461.566499999998,4461.566499999998,3.0901255690218954,4451.327373530531,True,False
76,2025-09-04 01:16:00,4450.56,4454.33,4449.53,4454.33,187.2982,4455.027999999998,4460.489499999998,4460.489499999998,3.212259456948916,4453.427871510382,True,False
77,2025-09-04 01:17:00,4454.33,4457.2,4453.79,4457.18,180.2266,4455.026999999998,4459.688499999998,4459.688499999998,3.2263837814525544,4456.618681411375,True,False
78,2025-09-04 01:18:00,4457.19,4457.66,4455.29,4456.57,150.1494,4454.864999999998,4459.086499999998,4459.086499999998,3.1652135113487927,4456.214910965377,True,False
79,2025-09-04 01:19:00,4456.57,4458.0,4455.75,4456.58,243.8117,4454.616999999998,4458.529499999998,4458.529499999998,3.0998411176810214,4457.342727197716,True,False
80,2025-09-04 01:20:00,4456.59,4458.99,4456.15,4457.55,240.5733,4454.843999999999,4458.104499999998,4458.104499999998,3.081281037846673,4458.430121522832,True,False
81,2025-09-04 01:21:00,4457.54,4457.76,4454.11,4454.19,131.0048,4454.880999999999,4457.435999999998,4457.435999999998,3.121903820857664,4454.993429772442,True,False
82,2025-09-04 01:22:00,4454.19,4458.0,4453.95,4458.0,108.2281,4455.389999999999,4457.0104999999985,4457.0104999999985,3.18819640508213,4457.3314213826125,True,False
83,2025-09-04 01:23:00,4458.0,4458.9,4455.77,4455.77,85.895,4455.575,4456.4749999999985,4456.4749999999985,3.1840395190047777,4456.895848825114,True,False
84,2025-09-04 01:24:00,4455.78,4456.36,4454.29,4454.6,157.0893,4455.534,4455.8719999999985,4455.8719999999985,3.104465267647273,4455.206770662871,True,False
85,2025-09-04 01:25:00,4454.61,4454.61,4450.61,4453.43,384.4614,4455.82,4455.509499999998,4455.509499999998,3.1684320342438963,4451.708065359889,True,False
86,2025-09-04 01:26:00,4453.43,4455.03,4452.17,4454.28,145.3703,4455.815,4455.421499999999,4455.421499999999,3.146401174655023,4453.981157493334,True,False
