Datetime,Adj Close,Close,High,Low,Open,Volume,SMA,MACD,Signal_Line,EMA50,EMA100,Buy_Signal,Sell_Signal
2025-01-02,61471.5703125,61471.5703125,61872.91015625,61204.01171875,61270.90234375,2437598,,,,,,False,False
2025-01-03,61538.4609375,61538.4609375,61806.01953125,61471.5703125,61471.5703125,2543892,,,,,,False,False
2025-01-06,62140.46875,62140.46875,62474.91796875,61471.5703125,61538.4609375,2895516,,,,,,False,False
2025-01-07,61739.12890625,61739.12890625,62341.13671875,61739.12890625,62341.13671875,2267915,,,,,,False,False
2025-01-08,61806.01953125,61806.01953125,61806.01953125,61204.01171875,61739.12890625,1572740,,,,,,False,False
2025-01-09,61471.5703125,61471.5703125,61672.2421875,61337.79296875,61538.4609375,1446711,,,,,,False,False
2025-01-10,61137.125,61137.125,61806.01953125,61137.125,61471.5703125,1663187,,,,,,False,False
2025-01-13,61471.5703125,61471.5703125,61471.5703125,60936.453125,61070.234375,1699815,,,,,,False,False
2025-01-14,61337.79296875,61337.79296875,61471.5703125,61003.34375,61471.5703125,1012563,,,,,,False,False
2025-01-15,61137.125,61137.125,61471.5703125,61137.125,61471.5703125,793994,,,,,,False,False
2025-01-16,62006.6875,62006.6875,62341.13671875,61404.68359375,61471.5703125,3763214,,,,,,False,False
2025-01-17,61872.91015625,61872.91015625,62207.359375,61672.2421875,62006.6875,2861259,,,,,,False,False
2025-01-20,61337.79296875,61337.79296875,61872.91015625,61270.90234375,61739.12890625,2803872,,,,,,False,False
2025-01-21,61137.125,61137.125,61605.3515625,61070.234375,61605.3515625,2542990,,,,,,False,False
2025-01-22,61003.34375,61003.34375,61538.4609375,61003.34375,61538.4609375,1708934,,,,,,False,False
2025-01-23,61872.91015625,61872.91015625,62140.46875,61070.234375,61070.234375,2647495,,,,,,False,False
2025-01-24,61939.80078125,61939.80078125,62207.359375,61605.3515625,61605.3515625,1728967,,,,,,False,False
2025-02-03,61270.90234375,61270.90234375,61806.01953125,61270.90234375,61739.12890625,2424292,,,,,,False,False
2025-02-04,61538.4609375,61538.4609375,61672.2421875,61337.79296875,61605.3515625,1523704,,,,,,False,False
2025-02-05,61939.80078125,61939.80078125,62073.578125,61538.4609375,61538.4609375,2236221,61558.5283203125,,,,,False,False
2025-02-06,62140.46875,62140.46875,62474.91796875,62006.6875,62073.578125,2319343,61591.9732421875,,,,,False,False
2025-02-07,62207.359375,62207.359375,62341.13671875,61872.91015625,62140.46875,3604295,61625.4181640625,,,,,False,False
2025-02-10,61672.2421875,61672.2421875,62140.46875,61471.5703125,62140.46875,3734360,61602.0068359375,,,,,False,False
2025-02-11,61471.5703125,61471.5703125,61739.12890625,61337.79296875,61672.2421875,1553903,61588.62890625,,,,,False,False
2025-02-12,61204.01171875,61204.01171875,61872.91015625,61204.01171875,61471.5703125,1874580,61558.528515625,,,,,False,False
2025-02-13,61270.90234375,61270.90234375,61471.5703125,61137.125,61471.5703125,1289138,61548.4951171875,,,,,False,False
2025-02-14,61270.90234375,61270.90234375,61672.2421875,61204.01171875,61672.2421875,1715662,61555.183984375,,,,,False,False
2025-02-17,61270.90234375,61270.90234375,61538.4609375,61204.01171875,61204.01171875,1176714,61545.1505859375,,,,,False,False
2025-02-18,61270.90234375,61270.90234375,61538.4609375,61137.125,61270.90234375,1891623,61541.8060546875,,,,,False,False
2025-02-19,61337.79296875,61337.79296875,61337.79296875,61070.234375,61270.90234375,2773972,61551.839453125,,,,,False,False
2025-02-20,61337.79296875,61337.79296875,61739.12890625,61337.79296875,61672.2421875,2745418,61518.3947265625,,,,,False,False
2025-02-21,62274.24609375,62274.24609375,62274.24609375,61605.3515625,61605.3515625,3757533,61538.4615234375,,,,,False,False
2025-02-24,62541.8046875,62541.8046875,62541.8046875,62006.6875,62408.02734375,3128736,61598.662109375,,,,,False,False
2025-02-25,61939.80078125,61939.80078125,62608.6953125,61872.91015625,62541.8046875,2974452,61638.7958984375,107.93218374789285,17.343220464392086,,,False,False
2025-02-26,61739.12890625,61739.12890625,62140.46875,61672.2421875,61939.80078125,1354470,61675.58515625,98.6689752110542,33.60837141372451,,,False,False
2025-02-27,62876.25390625,62876.25390625,63812.7109375,62876.25390625,63478.26171875,7612241,61725.75234375,180.99786909004615,63.08627094898884,,,False,False
2025-02-28,62408.02734375,62408.02734375,63010.03515625,62408.02734375,63010.03515625,3300362,61749.163671875,206.08650325062627,91.68631740931633,,,False,False
2025-03-03,62408.02734375,62408.02734375,62541.8046875,62207.359375,62541.8046875,1964430,61806.019921875,223.39427641631482,118.02790921071603,,,False,False
2025-03-04,62207.359375,62207.359375,62474.91796875,62006.6875,62341.13671875,3940371,61839.46484375,218.40099262684816,138.10252589394247,,,False,False
2025-03-05,62207.359375,62207.359375,62742.4765625,62207.359375,62207.359375,2815384,61852.8427734375,211.99997549691034,152.88201581453603,,,False,False
2025-03-06,62541.8046875,62541.8046875,63010.03515625,62341.13671875,62541.8046875,3675607,61872.9095703125,231.24837759741786,168.5552881711124,,,False,False
2025-03-07,63612.0390625,63612.0390625,63745.8203125,62541.8046875,62608.6953125,6103337,61943.1435546875,329.0685473046833,200.6579399978266,,,False,False
2025-03-10,64749.1640625,64749.1640625,65150.5,64280.9375,64481.60546875,6772051,62096.9896484375,492.6690387014896,259.0601597385592,,,False,False
2025-03-11,64749.1640625,64749.1640625,64749.1640625,63946.48828125,64214.046875,5536284,62260.8693359375,615.2315998961203,330.29444777007143,,,False,False
2025-03-12,66700.0,66700.0,68600.0,65600.0,66000.0,7661300,62535.66875,859.8674522577712,436.2090486676114,,,False,False
2025-03-13,65500.0,65500.0,67200.0,65200.0,67200.0,4559300,62747.1236328125,946.0081633415975,538.1688716024087,,,False,False
2025-03-14,66000.0,66000.0,66800.0,65400.0,65400.0,5021600,62983.578515625,1042.6026445230382,639.0556261865346,,,False,False
2025-03-17,67300.0,67300.0,67300.0,66000.0,66000.0,5003800,63285.0333984375,1210.1042734313087,753.2653556354894,,,False,False
2025-03-18,66800.0,66800.0,67800.0,66800.0,67800.0,3757000,63561.48828125,1287.661341397259,860.1445527878434,,,False,False
2025-03-19,66500.0,66500.0,67200.0,66500.0,67200.0,3937000,63819.5986328125,1309.8195987335785,950.0795619769904,62453.591875,,False,False
2025-03-20,66800.0,66800.0,67000.0,66200.0,66500.0,1789901,64092.708984375,1336.1849616183536,1027.300641905263,62624.03925245098,,False,False
2025-03-21,66000.0,66000.0,67000.0,66000.0,67000.0,1764500,64278.9966796875,1277.7967420936693,1077.3998619429444,62756.42987000192,,False,False
2025-03-24,66500.0,66500.0,66500.0,65500.0,66300.0,2078600,64476.9064453125,1257.375239707173,1113.3949374957901,62903.23654176655,,False,False
2025-03-25,66200.0,66200.0,66600.0,66200.0,66500.0,2091100,64689.91640625,1203.114800632764,1131.3389101231849,63032.5213832659,,False,False
2025-03-26,65800.0,65800.0,66600.0,65800.0,66400.0,1608400,64892.9599609375,1114.9835187296558,1128.067831844479,63141.04995647116,,False,False
2025-03-27,65500.0,65500.0,65900.0,65500.0,65800.0,964500,65024.147265625,1009.2968047744507,1104.3136264304735,63233.55780131542,,False,False
