Datetime,Open,High,Low,Close,Volume,MA10,MA20,RSI
2025-09-19 15:22:00,1.34734,1.34734,1.3471600000000001,1.34724,182,,,
2025-09-19 15:23:00,1.34728,1.3473,1.34715,1.34718,180,,,
2025-09-19 15:24:00,1.3471899999999999,1.34723,1.34717,1.34722,98,,,
2025-09-19 15:25:00,1.34723,1.34724,1.34711,1.34723,233,,,
2025-09-19 15:26:00,1.34728,1.34745,1.3471600000000001,1.34718,213,,,
2025-09-19 15:27:00,1.34717,1.34759,1.3471600000000001,1.34758,153,,,
2025-09-19 15:28:00,1.34758,1.34767,1.34751,1.34753,152,,,
2025-09-19 15:29:00,1.34753,1.34754,1.34721,1.34721,113,,,
2025-09-19 15:30:00,1.34721,1.34721,1.34686,1.34695,180,,,
2025-09-19 15:31:00,1.34695,1.34697,1.34669,1.34673,180,1.347205,,
2025-09-19 15:32:00,1.34672,1.34686,1.34653,1.34686,273,1.347167,,
2025-09-19 15:33:00,1.34687,1.34688,1.34666,1.34676,224,1.347125,,
2025-09-19 15:34:00,1.3467500000000001,1.34687,1.34663,1.34666,178,1.3470689999999998,,
2025-09-19 15:35:00,1.34666,1.3468200000000001,1.34663,1.34676,142,1.347022,,
2025-09-19 15:36:00,1.34677,1.3468200000000001,1.34665,1.34673,177,1.346977,,36.36363636363313
2025-09-19 15:37:00,1.34673,1.34698,1.34673,1.34696,165,1.3469149999999999,,43.80675626588896
2025-09-19 15:38:00,1.34696,1.34733,1.34696,1.34704,274,1.346866,,46.16537730545822
2025-09-19 15:39:00,1.34701,1.3472,1.34692,1.34718,201,1.346863,,50.11172448798651
2025-09-19 15:40:00,1.34718,1.34747,1.3471600000000001,1.34737,183,1.346905,,54.93942774716284
2025-09-19 15:41:00,1.34737,1.34749,1.34731,1.34734,207,1.3469659999999997,1.3470855,54.05004142910435
2025-09-19 15:42:00,1.34735,1.34738,1.34706,1.34718,204,1.3469979999999997,1.3470825000000002,49.45199317512274
2025-09-19 15:43:00,1.34718,1.34738,1.34718,1.34738,140,1.3470599999999997,1.3470925,54.64584193417811
2025-09-19 15:44:00,1.34738,1.34738,1.34714,1.34727,166,1.3471209999999998,1.3470950000000002,51.5108845313804
2025-09-19 15:45:00,1.34727,1.34728,1.34703,1.34705,187,1.3471499999999996,1.3470860000000002,45.84600476377491
2025-09-19 15:46:00,1.34705,1.34707,1.3468499999999999,1.34686,166,1.3471629999999997,1.34707,41.59183004390607
2025-09-19 15:47:00,1.34686,1.34696,1.34683,1.34692,173,1.347159,1.347037,43.378632394013
2025-09-19 15:48:00,1.34692,1.34694,1.3465099999999999,1.3465099999999999,180,1.347106,1.346986,35.407568211584966
