Datetime,Open,High,Low,Close,Volume,IsDoji,Buy_Signal,Sell_Signal,Position_Buy,Position_Sell,Trade_Action,Capital,Shares_Held,Market_Return,Cumulative_Market_Returns,Strategy_Value,Cumulative_Strategy_Returns
05/05/2025,57500,58000,57000,57100,2101500,False,False,False,,,,100000000,0,,,100000000,1.0
06/05/2025,57300,58000,57000,57000,2992900,False,False,False,False,False,,100000000,0,-0.0017513134851138146,0.9982486865148862,100000000,1.0
07/05/2025,57100,57500,57000,57000,2415400,False,False,False,False,False,,100000000,0,0.0,0.9982486865148862,100000000,1.0
08/05/2025,57400,57700,56900,57100,3022300,False,False,False,False,False,,100000000,0,0.0017543859649122862,1.0,100000000,1.0
09/05/2025,57300,57600,56600,56600,5827400,False,False,False,False,False,,100000000,0,-0.008756567425569184,0.9912434325744308,100000000,1.0
12/05/2025,57000,57300,56200,56600,5992500,False,False,False,False,False,,100000000,0,0.0,0.9912434325744308,100000000,1.0
13/05/2025,57100,57300,56600,56800,7392600,False,False,False,False,False,,100000000,0,0.0035335689045936647,0.9947460595446586,100000000,1.0
14/05/2025,57200,58800,57200,58700,8014200,False,False,False,False,False,,100000000,0,0.03345070422535201,1.0280210157618213,100000000,1.0
15/05/2025,59300,59800,58700,58700,8070600,False,False,False,False,False,,100000000,0,0.0,1.0280210157618213,100000000,1.0
16/05/2025,58800,59000,57500,57500,8364800,False,False,False,False,False,,100000000,0,-0.020442930153321992,1.0070052539404553,100000000,1.0
19/05/2025,57400,57600,57000,57000,4784400,False,False,False,False,False,,100000000,0,-0.008695652173912993,0.9982486865148862,100000000,1.0
20/05/2025,57000,57400,56800,57100,3867000,False,False,False,False,False,,100000000,0,0.0017543859649122862,1.0,100000000,1.0
21/05/2025,57500,57900,57000,57100,5161800,False,False,False,False,False,,100000000,0,0.0,1.0,100000000,1.0
22/05/2025,57100,57400,56900,56900,3694300,False,False,False,False,False,,100000000,0,-0.003502626970227629,0.9964973730297724,100000000,1.0
23/05/2025,56900,57500,56700,56800,3546500,False,False,False,False,False,,100000000,0,-0.0017574692442882123,0.9947460595446586,100000000,1.0
26/05/2025,56900,57000,56000,57000,4728300,False,False,False,False,False,,100000000,0,0.0035211267605634866,0.9982486865148863,100000000,1.0
27/05/2025,56800,57200,56700,56800,5548900,True,True,False,False,False,,100000000,0,-0.0035087719298245723,0.9947460595446587,100000000,1.0
28/05/2025,57100,57600,56800,56800,4950200,False,False,False,True,False,Buy,94290000,100,0.0,0.9947460595446587,99970000,0.9997
29/05/2025,57200,57200,56700,56700,3904500,False,False,False,False,False,,94290000,100,-0.0017605633802817433,0.9929947460595447,99960000,0.9996
