Datetime,Open,High,Low,Close,Volume,EMA10,EMA20,EMA60,MACD,Signal,Hist,Buy_Signal,Buy_Signal1
2025-09-29 00:05:00,110856.5,110906.0,110841.0,110899.0,198,,,,,,,False,False
2025-09-29 00:10:00,110899.0,110933.5,110882.0,110912.0,260,,,,,,,False,False
2025-09-29 00:15:00,110901.0,110909.0,110749.5,110793.0,294,,,,,,,False,False
2025-09-29 00:20:00,110793.5,110845.0,110793.5,110811.0,179,,,,,,,False,False
2025-09-29 00:25:00,110815.0,110824.0,110755.0,110755.0,192,,,,,,,False,False
2025-09-29 00:30:00,110764.0,110768.5,110702.5,110714.0,201,,,,,,,False,False
2025-09-29 00:35:00,110713.5,110715.5,110678.5,110694.0,172,,,,,,,False,False
2025-09-29 00:40:00,110685.0,110729.0,110677.5,110721.0,210,,,,,,,False,False
2025-09-29 00:45:00,110729.0,110770.0,110722.0,110766.0,119,,,,,,,False,False
2025-09-29 00:50:00,110760.5,110776.5,110758.0,110770.5,78,110783.55,,,,,,False,False
2025-09-29 00:55:00,110769.5,110891.0,110768.5,110880.5,113,110801.17727272728,,,,,,False,False
2025-09-29 01:00:00,110881.0,111001.5,110881.0,110945.0,313,110827.32685950413,,,,,,False,False
2025-09-29 01:05:00,110945.0,111574.5,110944.0,111493.5,384,110948.4492486852,,,,,,False,False
2025-09-29 01:10:00,111481.5,111553.0,111388.0,111489.0,411,111046.73120346971,,,,,,False,False
2025-09-29 01:15:00,111502.0,111863.0,111465.5,111659.0,393,111158.05280283885,,,,,,False,False
2025-09-29 01:20:00,111652.5,111840.0,111641.5,111700.0,394,111256.58865686815,,,,,,False,False
2025-09-29 01:25:00,111698.0,111779.0,111682.0,111763.0,427,111348.66344652849,,,,,,False,False
2025-09-29 01:30:00,111767.5,112022.0,111767.5,111837.0,384,111437.45191079604,,,,,,False,False
2025-09-29 01:35:00,111845.0,111862.0,111762.0,111834.0,415,111509.55156337857,,,,,,False,False
2025-09-29 01:40:00,111833.0,111954.0,111811.0,111952.0,405,111589.99673367337,111169.425,,,,,False,False
