2025-08-04 10:06:16,825 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,825 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,826 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,826 - INFO - BUY 8651 EURUSD.sml @ 1.15517 VND
2025-08-04 10:06:16,827 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,828 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,828 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,829 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,829 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,830 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,831 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,831 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,832 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,833 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,834 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,834 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,835 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,835 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,836 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,836 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,837 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,837 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,838 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,838 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,839 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,840 - INFO - Already have position in EURUSD.sml, skipping BUY signal
