timestamp,open,high,low,close,volume,MA10,MA20
2025-07-22 07:13:00,118190.54,118250.15,118190.53,118250.09,49.89997,,
2025-07-22 07:14:00,118250.08,118294.96,118241.2,118294.95,81.92522,,
2025-07-22 07:15:00,118294.95,118352.29,118241.2,118336.0,52.42276,,
2025-07-22 07:16:00,118336.0,118336.01,118304.09,118304.09,13.01982,,
2025-07-22 07:17:00,118304.09,118304.1,118244.36,118244.37,14.77515,,
2025-07-22 07:18:00,118244.36,118324.78,118241.2,118310.66,12.01201,,
2025-07-22 07:19:00,118310.67,118324.77,118296.58,118324.76,16.1208,,
2025-07-22 07:20:00,118324.77,118388.39,118298.69,118306.46,31.5252,,
2025-07-22 07:21:00,118306.47,118423.25,118296.01,118415.42,42.45611,,
2025-07-22 07:22:00,118415.42,118420.08,118335.64,118378.42,72.90833,118316.522,
2025-07-22 07:23:00,118378.43,118378.43,118370.0,118371.53,22.75915,118328.666,
2025-07-22 07:24:00,118371.53,118432.82,118371.53,118432.82,23.35642,118342.45300000001,
2025-07-22 07:25:00,118432.81,118525.74,118432.81,118525.72,85.81517,118361.425,
2025-07-22 07:26:00,118525.73,118527.95,118491.82,118519.99,39.36479,118383.01499999998,
2025-07-22 07:27:00,118520.0,118536.19,118519.64,118536.18,21.65699,118412.19599999997,
2025-07-22 07:28:00,118536.19,118590.0,118534.89,118589.99,26.87844,118440.12899999999,
2025-07-22 07:29:00,118590.0,118594.55,118522.45,118572.59,32.92221,118464.91199999998,
2025-07-22 07:30:00,118572.6,118582.75,118405.31,118405.31,27.56439,118474.79699999999,
2025-07-22 07:31:00,118405.32,118405.32,118288.29,118320.05,34.25424,118465.26000000001,
2025-07-22 07:32:00,118320.04,118320.05,118262.41,118299.99,29.88445,118457.41700000002,118386.9695
2025-07-22 07:33:00,118299.99,118300.0,118222.01,118233.49,98.33091,118443.61300000001,118386.13950000002
2025-07-22 07:34:00,118233.48,118250.22,118217.37,118217.38,13.04498,118422.06899999999,118382.26100000001
2025-07-22 07:35:00,118217.38,118272.51,118217.38,118272.51,15.22056,118396.74799999999,118379.0865
2025-07-22 07:36:00,118272.51,118380.2,118272.5,118374.52,25.6408,118382.201,118382.60800000001
2025-07-22 07:37:00,118374.52,118374.52,118278.42,118278.42,17.22217,118356.425,118384.31049999999
2025-07-22 07:38:00,118278.43,118278.43,118233.64,118275.65,23.0886,118324.991,118382.55999999998
2025-07-22 07:39:00,118275.65,118287.64,118226.66,118226.66,18.26941,118290.39799999997,118377.655
2025-07-22 07:40:00,118226.66,118274.63,118130.65,118130.65,19.86078,118262.93199999996,118368.8645
2025-07-22 07:41:00,118130.65,118199.99,118130.65,118199.99,13.20705,118250.92599999995,118358.09300000002
2025-07-22 07:42:00,118199.99,118199.99,118123.39,118123.4,8.84605,118233.26699999995,118345.34200000002
2025-07-22 07:43:00,118123.4,118181.09,118123.39,118155.79,12.4488,118225.49699999994,118334.55500000002
2025-07-22 07:44:00,118155.79,118189.33,118155.78,118189.32,16.16085,118222.69099999995,118322.38000000003
2025-07-22 07:45:00,118189.33,118200.0,118155.4,118155.41,18.6273,118210.98099999994,118303.86450000003
2025-07-22 07:46:00,118155.4,118155.41,118115.14,118131.37,10.15214,118186.66599999992,118284.43350000001
2025-07-22 07:47:00,118131.37,118158.04,118131.37,118146.68,4.58762,118173.49199999993,118264.95850000002
2025-07-22 07:48:00,118146.67,118175.54,118115.13,118115.13,15.85154,118157.43999999994,118241.2155
2025-07-22 07:49:00,118115.14,118115.14,118065.0,118070.87,8.80938,118141.86099999995,118216.12950000001
2025-07-22 07:50:00,118070.87,118130.73,118070.87,118130.73,5.92625,118141.86899999995,118202.40050000002
2025-07-22 07:51:00,118130.73,118200.0,118090.23,118199.99,35.1266,118141.86899999995,118196.39750000004
2025-07-22 07:52:00,118199.99,118215.13,118090.23,118090.24,13.3225,118138.55299999996,118185.91000000003
2025-07-22 07:53:00,118090.23,118090.24,118023.6,118041.88,12.27381,118127.16199999997,118176.32950000002
2025-07-22 07:54:00,118041.88,118070.48,118030.09,118040.01,8.71415,118112.23099999996,118167.46100000001
2025-07-22 07:55:00,118040.02,118044.0,118016.84,118019.14,7.08654,118098.60399999996,118154.79250000003
2025-07-22 07:56:00,118019.14,118019.14,117857.22,117866.26,39.44267,118072.09299999995,118129.37950000001
2025-07-22 07:57:00,117866.27,117891.11,117836.77,117880.01,11.75224,118045.42599999995,118109.459
2025-07-22 07:58:00,117880.0,117880.01,117815.81,117877.83,22.18843,118021.69599999995,118089.56800000001
2025-07-22 07:59:00,117877.82,117983.69,117877.82,117983.68,7.99399,118012.97699999993,118077.41900000002
2025-07-22 08:00:00,117983.69,117983.69,117871.17,117871.17,27.54447,117987.02099999992,118064.44500000002
2025-07-22 08:01:00,117871.17,117877.41,117800.0,117818.01,14.46197,117948.82299999993,118045.34599999999
2025-07-22 08:02:00,117818.0,117865.47,117806.64,117840.0,6.90967,117923.79899999993,118031.176
2025-07-22 08:03:00,117839.06,117839.07,117807.38,117822.7,4.38463,117901.88099999994,118014.5215
2025-07-22 08:04:00,117822.71,117822.71,117735.07,117778.14,10.05443,117875.69399999993,117993.96250000002
2025-07-22 08:05:00,117778.14,117778.14,117677.46,117737.03,13.0364,117847.48299999993,117973.0435
2025-07-22 08:06:00,117737.04,117745.28,117675.24,117679.78,17.15489,117828.83499999993,117950.46399999999
2025-07-22 08:07:00,117679.78,117679.78,117540.0,117551.74,37.35859,117796.00799999994,117920.71699999999
2025-07-22 08:08:00,117551.74,117614.64,117551.46,117568.28,8.88546,117765.05299999993,117893.37449999999
2025-07-22 08:09:00,117568.29,117683.87,117556.52,117668.25,33.43192,117733.50999999994,117873.24349999998
2025-07-22 08:10:00,117668.26,117700.0,117554.07,117554.07,42.24992,117701.79999999996,117844.41049999997
2025-07-22 08:11:00,117554.07,117654.56,117554.07,117654.56,42.08171,117685.45499999996,117817.13899999997
2025-07-22 08:12:00,117654.55,117768.56,117654.55,117768.18,47.18678,117678.27299999996,117801.03599999996
2025-07-22 08:13:00,117768.18,117768.19,117654.45,117683.24,27.86637,117664.32699999996,117783.10399999998
2025-07-22 08:14:00,117683.24,117730.79,117660.0,117686.65,49.27801,117655.17799999996,117765.43599999999
2025-07-22 08:15:00,117686.65,117864.24,117686.65,117864.23,16.71622,117667.89799999996,117757.69049999998
2025-07-22 08:16:00,117864.24,117881.62,117794.33,117811.66,52.84049,117681.08599999994,117754.9605
2025-07-22 08:17:00,117811.66,117811.66,117621.56,117646.41,20.88645,117690.55299999993,117743.28050000002
2025-07-22 08:18:00,117646.4,117771.2,117613.18,117771.2,18.02891,117710.84499999993,117737.94900000002
2025-07-22 08:19:00,117771.2,117830.2,117732.45,117809.41,10.62818,117724.96099999992,117729.23550000002
2025-07-22 08:20:00,117809.42,117946.91,117809.41,117946.9,14.83468,117764.2439999999,117733.02200000003
2025-07-22 08:21:00,117946.91,117981.02,117881.35,117881.35,8.19865,117786.92299999991,117736.18900000004
2025-07-22 08:22:00,117881.36,117942.5,117851.0,117851.0,11.95234,117795.20499999991,117736.73900000003
2025-07-22 08:23:00,117851.0,117867.62,117727.06,117727.06,10.59286,117799.58699999991,117731.95700000002
2025-07-22 08:24:00,117727.06,117740.96,117630.04,117694.2,10.81012,117800.34199999992,117727.76000000004
2025-07-22 08:25:00,117694.21,117694.21,117557.43,117557.43,13.89021,117769.66199999992,117718.78000000006
2025-07-22 08:26:00,117557.44,117576.67,117488.19,117576.66,15.81361,117746.16199999992,117713.62400000007
2025-07-22 08:27:00,117576.66,117588.42,117499.86,117584.45,13.9046,117739.96599999993,117715.25950000007
